Investigation_Num;id;archivedAt;createdAt;createdById;description;priority;status;type;updatedAt;serviceDeskId;shortId
1;87122d72-c04d-4f06-adc9-ee7551b585aa;;2025-03-17T13:54:11.795585Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-03-17 - PowerShell AppData Downloader;2;AWAITING_ACTION;SECURITY_INVESTIGATION;2025-03-17T15:33:00.924124Z;;INV00032
2;84128a60-4c36-4685-b67d-93ce46d22042;;2025-02-26T14:06:26.935016Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-26 - github.com was identified as malicious on 2 watchlists;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-26T14:34:48.545667Z;;INV00031
3;1436d618-876f-44d1-87c0-a81a6986649c;;2025-02-25T20:44:25.661596Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - github.com was identified as malicious on 2 watchlists;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-26T14:35:20.706283Z;;INV00030
4;87a5f926-9068-455e-961f-cf86f0ba4023;;2025-02-25T15:22:43.003964Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.64.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-26T14:35:37.416235Z;;INV00029
5;20ec29b7-b746-47ce-875e-e9c5b23de682;;2025-02-25T14:48:28.986719Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.96.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:56:55.7102Z;;INV00028
6;54f6912f-2af0-43be-994b-bbb131ff8faa;;2025-02-25T14:42:59.450812Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.80.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:55:54.920818Z;;INV00027
7;3175e057-59af-4511-9a26-4783d55e2b45;;2025-02-25T14:42:46.205422Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.32.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:55:41.87255Z;;INV00026
8;7b3403bb-77b3-4e37-9af8-1846af31ff64;;2025-02-25T14:40:48.535333Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.64.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-26T14:35:33.072676Z;;INV00025
9;9c28d095-97c6-4b86-925c-1f126bdb2349;;2025-02-25T14:24:19.66165Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2025-02-25 - 104.21.112.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T17:56:08.168051Z;;INV00024
10;03cb9095-49d1-4167-9b23-7e281b6cce82;;2024-10-18T06:45:38.218808Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2024-10-18 - Emotet Launching Multiple Modules 2;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-10-28T13:53:14.488717Z;;INV00023
11;dab6a815-febe-4ba6-b1a2-33626ced1df0;;2024-10-17T21:10:13.322303Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2024-10-17 - Emotet Launching Multiple Modules 2;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-10-28T13:53:07.866394Z;;INV00022
12;b5b2126f-efee-476a-800e-6e69ef3dc620;;2024-10-17T20:53:45.629036Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2024-10-17 - Emotet Launching Multiple Modules 2;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-10-28T13:52:46.423113Z;;INV00021
13;4b711632-08d1-4bd4-a6b2-e810fd47017d;;2024-07-23T16:29:37.000982Z;pgbG1t2dIZ0Fe4ho1T1WNZQwtJ2Yz8ra@clients;2024-07-23 - PowerShell Resolves Import;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-07-24T18:43:56.278552Z;;INV00020
14;4c0fcac6-e59e-4347-95c3-84d69d4b66a1;;2024-03-18T17:40:23.481026Z;0a6cd02a-abe5-42a6-ae57-9b67b4e608cc;2024-03-18 - Incidente de segurança (boleto falso);2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-03-19T13:45:26.466559Z;1706793;INV00019
15;5ca9117a-c710-4f08-8cae-4cc7a27d47cc;;2024-02-15T18:03:53.208532Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-15 - Potential Brute Force Activity on Account: lopesrio/administrador has been observed;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2024-02-15T21:16:01.518998Z;;INV00017
16;737df6d7-e2f6-4eb3-bc5c-cd7a3d432b3b;;2024-02-05T12:19:52.960599Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-05 - PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:35:42.598474Z;;INV00016
17;998d5db9-67cc-491c-81f5-3e79f92d3ba6;;2024-02-01T15:45:54.739404Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-01 - PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:30:12.211279Z;;INV00015
18;ba5a7b1b-b816-4a9f-a484-9cbda3f5f1d9;;2024-02-01T15:45:48.006565Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-01 - PowerShell Start-Process for Target in an Unusual Location;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:28:58.647202Z;;INV00014
19;a2f2c9fb-1a3e-41d7-a745-bf858b5e080c;;2024-02-01T03:12:21.598065Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-01 - XMRig Miner Activity;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:34:36.91374Z;;INV00013
20;7c7e641c-6482-4c44-8ecf-4ddc61d64d09;;2024-02-01T03:12:20.631371Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-02-01 - Known Windows program executed from AppData;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:31:38.270893Z;;INV00012
21;6ded8b09-d064-4a09-9e89-da9747727b33;;2024-01-31T00:05:43.366633Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-31 - Possible Cryptocurrency Miner 2 ;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:24:39.696802Z;;INV00011
22;d823881c-0539-462f-b5cf-30b47b5efa2a;;2024-01-31T00:05:40.446443Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-31 - .NET Assembly Registration Utility Launches Command-Line Interpreter;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:25:29.488418Z;;INV00010
23;181cd4ec-6986-463c-aa46-40e3ea16de45;;2024-01-30T12:54:09.747623Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-30 - PowerShell Start-Process for Target in an Unusual Location;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:22:30.208316Z;;INV00009
24;61173c80-e31d-4d13-bfd7-e5b8debab40b;;2024-01-30T12:54:09.473863Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-30 - PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:23:37.724551Z;;INV00008
25;f44b7dec-5271-41ac-b4e3-3843fccbcc87;;2024-01-26T14:19:52.533634Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-26 - PowerShell Start-Process for Target in an Unusual Location;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:21:18.213176Z;;INV00007
26;d335d5dc-2df3-4249-acba-2a532b02be79;;2024-01-26T14:19:49.796703Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-26 - PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:18:00.218173Z;;INV00006
27;b09deb2e-45fb-4f3c-9bd0-5e8b1559aebe;;2024-01-26T12:21:04.358439Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-26 - PowerShell Start-Process for Target in an Unusual Location;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:19:16.892538Z;;INV00005
28;0d598068-ee0a-43c9-9714-c69d86847291;;2024-01-26T12:21:01.397786Z;gpIxRVSBwYG78jPU8dVwhGpxhy84LAVv@clients;2024-01-26 - PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:13:26.655525Z;;INV00004
29;0859c041-7a66-4282-b7d7-fa62fce2df67;;2024-01-24T13:40:21.691394Z;d806fb36-96ed-466a-8ee8-c349fc54a700;Potential Brute Force Activity on Account: lopesrio/administrador has been observed;2;CLOSED_INCONCLUSIVE;SECURITY_INVESTIGATION;2024-02-01T17:00:54.845696Z;;INV00003
30;24626c18-582a-481c-a3a5-ae961a55176f;;2024-01-12T12:49:42.019774Z;d806fb36-96ed-466a-8ee8-c349fc54a700;PowerShell .NET Payload Execution;2;CLOSED_THREAT_MITIGATED;SECURITY_INVESTIGATION;2024-02-16T19:11:17.901266Z;;INV00002
