Investigation_Num;id;archivedAt;createdAt;createdById;description;priority;status;type;updatedAt;serviceDeskId;shortId
1;cdf9b807-b955-4075-940a-d63ca8030081;;2025-03-13T17:13:40.497866Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-03-13 - Detected suspected stolen user credential for user vitorremigio@grupotechnos.com.br;2;AWAITING_ACTION;SECURITY_INVESTIGATION;2025-03-19T14:22:24.166552Z;1747005;INV00147
2;852aa704-12b2-41a2-b864-33d2beb14c12;;2025-02-28T17:45:09.82716Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-28 - Atypical travel;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-03-13T17:51:45.827956Z;1744833;INV00146
3;6c56e217-b91a-41dc-8f67-e9f1ad9d6020;;2025-02-28T01:00:58.697475Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-28 - MALWARE: Win32/ReverseTurtle.A!dha;2;CLOSED_AUTHORIZED_ACTIVITY;SECURITY_INVESTIGATION;2025-02-28T18:33:07.175587Z;1744728;INV00145
4;d03a8dc8-d458-4fa6-9fef-b4cae01f42a1;;2025-02-26T15:56:36.534491Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-26 - WMI Persistence for Encoded PowerShell 2;2;CLOSED_AUTHORIZED_ACTIVITY;SECURITY_INVESTIGATION;2025-02-26T17:34:19.697346Z;1744426;INV00144
5;1bd06962-8e1e-4300-ac7b-3f6858cf861a;;2025-02-26T15:56:36.475155Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-26 - WMI Persistence for Encoded PowerShell 2;2;CLOSED_AUTHORIZED_ACTIVITY;SECURITY_INVESTIGATION;2025-02-26T17:34:05.065454Z;1744427;INV00143
6;cad668b4-d87a-4a23-8f42-7dc7e42b7742;;2025-02-25T19:25:19.859395Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - github.com was identified as malicious on 2 watchlists;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-26T16:39:40.36964Z;1744367;INV00142
7;7147e44d-d970-421d-9046-2d75f58e0389;;2025-02-25T19:09:23.488011Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - 104.21.64.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T19:31:01.010846Z;1744365;INV00141
8;a808a855-66b4-4dd8-90cf-2f34ff828362;;2025-02-25T17:17:34.606971Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - 104.21.96.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T18:50:02.535423Z;1744355;INV00140
9;4aef2598-3ae7-4fd3-b7d7-5876d192b1c7;;2025-02-25T16:14:36.185935Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - 104.21.48.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T18:59:55.110602Z;1744351;INV00139
10;0a60b753-86b8-462f-86d2-bfe2a11a5097;;2025-02-25T15:43:46.261033Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - 104.21.48.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T19:05:12.863269Z;1744344;INV00138
11;58a2f317-8084-495a-ab0e-a23bea0ee6a5;;2025-02-25T15:23:20.592529Z;unE9KOVmNYSqjgdwf3SKXEU9ISytIzVc@clients;2025-02-25 - 104.21.64.1 was identified as a malicious IP on CTU Botnet IP Indicators;2;CLOSED_FALSE_POSITIVE_ALERT;SECURITY_INVESTIGATION;2025-02-25T19:10:45.852098Z;1744337;INV00137
